Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,MACD,MACD_Signal,MACD_Histogram,ATR,Price_Change_1d,Price_Change_5d,Price_Change_10d,Volume_Change,Volume_MA20,Volume_Ratio
2021-07-09,33798.01171875,34042.29296875,32318.880859375,32861.671875,27436021028,33985.99599609375,35917.3823828125,44.12827218383107,-908.4743012616091,-1046.0919377090438,137.61763644743473,2319.390066964286,-3.0331825334994567,-5.2037070737859565,-4.681248932809401,-8.27262815156622,35465015573.05,0.7736080355438708
2021-07-10,33520.51953125,34209.0703125,33116.01171875,33811.2421875,22971873468,33898.40107421875,35781.6682421875,58.40188268126315,-864.5714518523237,-1009.7878405376998,145.21638868537616,2096.0182756696427,2.8895983019731952,-4.174943915458251,-5.840263857231298,-16.271118743654867,34780407543.75,0.6604831596381917
2021-07-11,34240.1875,34584.703125,33346.73828125,33509.078125,20108729370,33791.79775390625,35704.4291796875,54.77159897804855,-844.4262220945893,-976.7155168490777,132.28929475448842,1965.768275669643,-0.8936792704164809,-0.6358463321556318,-4.358108605304456,-12.463694360794653,33145392082.55,0.6066825011427941
2021-07-12,33155.84765625,34592.15625,32697.30859375,34254.015625,24321499537,33923.3796875,35638.8805078125,48.09431367309408,-759.5946179015591,-933.2913370595741,173.69671915801496,1891.6597377232142,2.2230915969133402,0.08279145296374857,2.099619756102733,20.949957053402812,31413249406.5,0.7742433526143723
2021-07-13,32702.025390625,33327.1015625,32261.419921875,33125.46875,19120856669,33953.8673828125,35607.3826171875,44.41122738161112,-774.5012927599892,-901.5333281996571,127.032035439668,1870.443359375,-3.294641093630901,-2.2547819845663897,-2.1531991528063843,-21.382903879295455,30053436793.7,0.6362286217131825
2021-07-14,32822.34765625,33061.3984375,31639.125,32723.845703125,21376531210,33905.91962890625,35485.94390625,35.58690095807107,-809.3923916988206,-883.1051408994899,73.71274920066935,1834.5675223214287,-1.2124297769371184,-0.4194131461091377,-5.601295188342625,11.796932428540451,29466094948.4,0.7254619673028895
2021-07-15,31780.73046875,33159.640625,31175.708984375,32827.875,21300524237,33814.35810546875,35374.64890625,39.25913582250239,-819.2062444876647,-870.3253616171249,51.11911712946028,1760.233677455357,0.31790058484801875,-2.908403015916261,-6.9619227366245156,-0.35556270684573565,28519575948.95,0.746873806087717
2021-07-16,31421.5390625,32218.40625,31100.673828125,31841.55078125,23699476918,33826.70244140625,35225.142109375,41.26669920891967,-896.2406110517113,-875.5084115040422,-20.732199547669097,1721.7977120535713,-3.0045326380400805,-4.976345029635154,-5.58054945444445,11.262411451981569,27775280518.8,0.8532578780602684
2021-07-17,31533.068359375,31935.9453125,31223.990234375,31397.30859375,18895018942,33782.19169921875,35082.946640625,37.61332737847682,-981.8197267522992,-896.7706745536937,-85.04905219860552,1665.039760044643,-1.395165048812863,-8.339772663515276,-8.263885829513518,-20.27242201430599,26944449421.2,0.7012583054353794
2021-07-18,31796.810546875,32398.99609375,31215.4921875,31533.884765625,18787986667,33624.9298828125,34999.9412109375,33.060649349469415,-1026.7850974023022,-922.7735591234155,-104.01153827888675,1600.7797154017858,0.4349932462115236,-4.804713848388942,-6.951160010691881,-0.5664576221307116,26189222566.95,0.7173938294262261
2021-07-19,30817.83203125,31885.859375,30563.734375,31800.01171875,20434789545,33491.1525390625,34943.7933203125,30.405630419271958,-1029.0836211961578,-944.035571537964,-85.0480496581938,1547.311244419643,0.843939638591884,-2.823121685501584,-3.230694288131075,8.765190795523136,25315889042.0,0.807192254283384
2021-07-20,29807.34765625,31006.1875,29360.955078125,30838.28515625,23148267245,33237.6474609375,34847.3871484375,32.602470175676615,-1095.875938314457,-974.4036448932626,-121.47229342119442,1601.2134486607142,-3.02429625185624,-6.060672047002735,-8.792806294319178,13.278716152297921,24770350599.3,0.9345151233206268
2021-07-21,32110.693359375,32752.326171875,29526.18359375,29796.28515625,28203024559,32975.6625,34697.4369921875,24.923815547378112,-1218.839993739748,-1023.2909146625598,-195.54907907718825,1740.6410435267858,-3.378916806561849,-6.423260095121874,-11.079961540272897,21.83643924834946,24288553973.3,1.16116523816128
2021-07-22,32313.10546875,32576.400390625,31745.298828125,32138.873046875,19555230518,32905.12607421875,34606.216015625,41.923465402112534,-1114.416330860815,-1041.515997902211,-72.90033295860394,1789.7566964285713,7.862013262192269,2.3618726774326637,-6.1748747979821665,-30.66264762812597,23329866752.1,0.8382058382840858
